[22Sep2026 20:38:57.832] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found gamelibrary file "bits_n_tracks-1.0.3.1-release.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.834] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "boulders-neoforge-21.1.0.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.836] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BrewinAndChewin-neoforge-4.5.0+1.21.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.838] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "c2me-neoforge-mc1.21.1-0.4.0-alpha.0.120.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.840] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cbc_compact_mount-1.2.2.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.843] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cbc_equally_opposite-0.1.3.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.845] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Chunky-NeoForge-1.4.23.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.847] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "climbable_ropes-2.1.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.849] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cloth-config-15.0.140-neoforge.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.851] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "compactflap-neoforge-1.21.1-1.0.4.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.855] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "configured-neoforge-1.21.1-2.6.3.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.858] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Controlling-neoforge-1.21.1-19.0.5.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.860] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "coolrain-1.21.1-NeoForge-1.0.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.863] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "copycats-3.0.4+mc.1.21.1-neoforge.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.865] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cr_aero_structures.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.867] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "crawlondemand-1.21-1.21.5-1.2.0+neoforge.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.872] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-1.21.1-6.0.10.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.875] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-aeronautics-bundled-1.21.1-1.3.0.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.877] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-aeronautics-lift-patch-1.1.0.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.879] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_aeronautics_transmission_linkage-0.2.5.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.882] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_connected-1.3.2-mc1.21.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
